population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Seluruh Populasi,5,Prevalensi,26,Papua Nugini,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,39309.53671374861,42535.87104745119,35247.78369797223
1,Seluruh Populasi,5,Prevalensi,69,Singapura,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,1047350.5910865882,1234942.5846096028,891033.9971591502
1,Seluruh Populasi,5,Prevalensi,69,Singapura,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.1991141702368065,0.234339585154465,0.1694233647687962
1,Seluruh Populasi,5,Prevalensi,69,Singapura,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,18680.358047697147,22026.21533341811,15892.3232022386
1,Seluruh Populasi,5,Prevalensi,116,Saint Lucia,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,36773.46461434315,41931.04560306257,31904.43651304659
1,Seluruh Populasi,5,Prevalensi,116,Saint Lucia,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.2160283563758815,0.2463735920000216,0.1874314492943823
1,Seluruh Populasi,5,Prevalensi,116,Saint Lucia,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,21052.32288929301,24004.96989824116,18264.868597984398
1,Seluruh Populasi,5,Prevalensi,28,Pulau Solomon,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,265043.4980813064,286599.297571449,238758.40528194176
1,Seluruh Populasi,5,Prevalensi,28,Pulau Solomon,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.3996511389936433,0.4307392055845134,0.3597968932797389
1,Seluruh Populasi,5,Prevalensi,28,Pulau Solomon,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,38982.34720372134,42152.75382022607,35116.36059697748
1,Seluruh Populasi,5,Prevalensi,126,Kosta Rika,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,899375.055507498,1039312.606758442,778750.2605262456
1,Seluruh Populasi,5,Prevalensi,126,Kosta Rika,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.1918099713454299,0.2210933940788807,0.1661489873406042
1,Seluruh Populasi,5,Prevalensi,126,Kosta Rika,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,18439.76398097463,21308.884490089567,15966.610277092299
1,Seluruh Populasi,5,Prevalensi,135,Brazil,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,5.3010784812135726E7,6.013527454992137E7,4.693557716927147E7
1,Seluruh Populasi,5,Prevalensi,135,Brazil,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.2650139235942872,0.3006336290491611,0.2343773980353342
1,Seluruh Populasi,5,Prevalensi,135,Brazil,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,25727.902507915052,29185.65507735872,22779.401547122412
1,Seluruh Populasi,5,Prevalensi,77,Siprus,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,77629.52817079626,90188.39319583873,65751.150250445
1,Seluruh Populasi,5,Prevalensi,77,Siprus,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.0651192180420458,0.0758017225142674,0.0550124600871136
1,Seluruh Populasi,5,Prevalensi,77,Siprus,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,6217.50473336119,7223.36944204586,5266.14160280155
1,Seluruh Populasi,5,Prevalensi,13,Malaysia,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,9524676.016725834,1.08881527051023E7,8141726.941961423
1,Seluruh Populasi,5,Prevalensi,13,Malaysia,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.3126132965139379,0.35831046567662,0.2689774329283404
1,Seluruh Populasi,5,Prevalensi,13,Malaysia,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,29893.35879883465,34172.653736311746,25552.949443193353
1,Seluruh Populasi,5,Prevalensi,176,Komoro,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,183255.2563549477,207927.9383689112,160865.39124562006
1,Seluruh Populasi,5,Prevalensi,176,Komoro,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.2472331743938342,0.2804440344192376,0.2181018092103694
1,Seluruh Populasi,5,Prevalensi,176,Komoro,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,23964.0521879633,27190.46681398874,21036.1585676999
1,Seluruh Populasi,5,Prevalensi,40,Turkmenistan,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,1170674.6720491743,1344777.2981988487,1019438.5301545864
1,Seluruh Populasi,5,Prevalensi,40,Turkmenistan,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.2421374244990492,0.2777165951170061,0.2122345293317094
1,Seluruh Populasi,5,Prevalensi,40,Turkmenistan,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,22757.03627802286,26141.460554027668,19817.11927988797
1,Seluruh Populasi,5,Prevalensi,72,Selandia Baru,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,555674.1683636467,637791.1716652086,475733.86558639584
1,Seluruh Populasi,5,Prevalensi,72,Selandia Baru,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.1249530237103856,0.1432349009392763,0.1073906256180022
1,Seluruh Populasi,5,Prevalensi,72,Selandia Baru,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,11754.38057236913,13491.431821505801,10063.373872019341
1,Seluruh Populasi,5,Prevalensi,177,Djibouti,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,263794.95016459574,302420.96875475266,230458.995290749
1,Seluruh Populasi,5,Prevalensi,177,Djibouti,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.2402478794012114,0.2744220486277433,0.2102115367420923
1,Seluruh Populasi,5,Prevalensi,177,Djibouti,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,23300.73517681339,26712.53145851761,20356.204753099642
1,Seluruh Populasi,5,Prevalensi,71,Australia,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,2383686.248015228,2748946.645329959,2042375.677838779
1,Seluruh Populasi,5,Prevalensi,71,Australia,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.1067415573528083,0.1231237633534474,0.0917770198559669
1,Seluruh Populasi,5,Prevalensi,71,Australia,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,10051.456714661861,11591.67580861611,8612.22853383828
1,Seluruh Populasi,5,Prevalensi,43,Albania,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,452276.9235573855,511243.1004400981,392741.7472348368
1,Seluruh Populasi,5,Prevalensi,43,Albania,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.172779151211601,0.1952528099232927,0.15001495171366
1,Seluruh Populasi,5,Prevalensi,43,Albania,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,16652.1962133546,18823.24739075944,14460.19528188554
1,Seluruh Populasi,5,Prevalensi,30,Vanuatu,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,109877.00808467346,119377.43464317825,99396.7317510373
1,Seluruh Populasi,5,Prevalensi,30,Vanuatu,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.3939771183670281,0.4255720169243854,0.3560180395382534
1,Seluruh Populasi,5,Prevalensi,30,Vanuatu,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,38630.545001418024,41970.703803504824,34945.89073578825
1,Seluruh Populasi,5,Prevalensi,105,Antigua dan Barbuda,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,16980.248258662723,19485.89523065476,14754.166630805728
1,Seluruh Populasi,5,Prevalensi,105,Antigua dan Barbuda,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.1954404882050707,0.2241605072109423,0.1702182566106192
1,Seluruh Populasi,5,Prevalensi,105,Antigua dan Barbuda,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,19035.45044418324,21844.3680783315,16539.93530999432
1,Seluruh Populasi,5,Prevalensi,90,Norway,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,318989.2696575529,368924.7711757623,273939.3056993105
1,Seluruh Populasi,5,Prevalensi,90,Norway,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.0645611099185207,0.0747115841861847,0.0555561604276712
1,Seluruh Populasi,5,Prevalensi,90,Norway,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,6120.938871649781,7079.12831998534,5256.49576403536
1,Seluruh Populasi,5,Prevalensi,169,Republik Afrika Tengah,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,1854846.223873344,2045765.0185916317,1631158.7360257122
1,Seluruh Populasi,5,Prevalensi,169,Republik Afrika Tengah,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.3381653486163565,0.3727414834378675,0.2977692329521799
1,Seluruh Populasi,5,Prevalensi,169,Republik Afrika Tengah,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,33679.10484568089,37145.68553661326,29617.53129908491
1,Seluruh Populasi,5,Prevalensi,150,Oman,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,517442.62942342367,607561.9120721238,430326.4840553036
1,Seluruh Populasi,5,Prevalensi,150,Oman,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.1410812520322412,0.1655747052543305,0.1173255030307756
1,Seluruh Populasi,5,Prevalensi,150,Oman,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,13704.8857659063,16091.7677191425,11397.544327945281
1,Seluruh Populasi,5,Prevalensi,79,Finlandia,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,332577.87298703066,380622.100266236,284311.9792704599
1,Seluruh Populasi,5,Prevalensi,79,Finlandia,3,Gabungan,22,Semua umur,297,Tuberkulosis,2,Persentase,2016,0.0635270256468409,0.0726557619249248,0.0541811780562161
1,Seluruh Populasi,5,Prevalensi,79,Finlandia,3,Gabungan,22,Semua umur,297,Tuberkulosis,3,Laju,2016,6045.59362850573,6918.94058847312,5168.21722066992
1,Seluruh Populasi,5,Prevalensi,127,El Salvador,3,Gabungan,22,Semua umur,297,Tuberkulosis,1,Angka,2016,1364663.2283908054,1592799.560334314,1196340.705278571
